2025-02-25기준 3년 연속 배당금이 상승한 기업 리스트

링네트 : 0원 -> 0원 -> 81원 -> 240원 
동방아그로 : 0원 -> 0원 -> 300원 -> 300원 
풍산홀딩스 : 0원 -> 0원 -> 947원 -> 1,400원 
삼호개발 : 0원 -> 0원 -> 190원 -> 150원 
CJ우 : 0원 -> 0원 -> 3,050원 -> 3,050원 
대덕전자1우 : 0원 -> 0원 -> 305원 -> 405원 
나스미디어 : 0원 -> 0원 -> 700원 -> 700원 
하이트진로2우B : 0원 -> 0원 -> 1,000원 -> 750원 
모나리자 : 0원 -> 0원 -> 50원 -> 150원 
MH에탄올 : 0원 -> 0원 -> 250원 -> 250원 
LB인베스트먼트 : 0원 -> 0원 -> 200원 -> 200원 
삼성화재 : 0원 -> 0원 -> 16,000원 -> 19,000원 
KG모빌리언스 : 0원 -> 0원 -> 220원 -> 220원 
이노진 : 0원 -> 0원 -> 30원 -> 80원 
경농 : 0원 -> 0원 -> 450원 -> 450원 
한국금융지주 : 0원 -> 0원 -> 2,650원 -> 3,980원 
하나제약 : 0원 -> 0원 -> 510원 -> 510원 
한솔홀딩스 : 0원 -> 0원 -> 100원 -> 120원 
성도이엔지 : 0원 -> 0원 -> 100원 -> 200원 
HD현대 : 0원 -> 0원 -> 3,700원 -> 3,600원 
피제이메탈 : 0원 -> 0원 -> 150원 -> 150원 
나눔테크 : 0원 -> 0원 -> 50원 -> 100원 
롯데지주우 : 0원 -> 0원 -> 1,550원 -> 1,250원 
현대코퍼레이션홀딩스 : 0원 -> 0원 -> 500원 -> 500원 
JW생명과학 : 0원 -> 0원 -> 500원 -> 500원 
관악산업 : 0원 -> 0원 -> 100원 -> 250원 
삼원강재 : 0원 -> 0원 -> 110원 -> 110원 
SK : 0원 -> 0원 -> 5,000원 -> 7,000원 
무림페이퍼 : 0원 -> 0원 -> 75원 -> 100원 
신한지주 : 0원 -> 0원 -> 2,100원 -> 2,160원 
SK디스커버리 : 1,500원 -> 1,700원 -> 1,700원 -> 1,700원 
고려신용정보 : 300원 -> 330원 -> 380원 -> 450원 
한섬 : 600원 -> 750원 -> 750원 -> 750원 
성신양회 : 200원 -> 200원 -> 350원 -> 350원 
DN오토모티브 : 400원 -> 500원 -> 600원 -> 1,000원 
CJ제일제당 우 : 5,050원 -> 5,550원 -> 5,550원 -> 6,050원 
삼진제약 : 800원 -> 800원 -> 800원 -> 800원 
쇼박스 : 0원 -> 0원 -> 0원 -> 150원 
자이에스앤디 : 200원 -> 300원 -> 150원 -> 150원 
대한제당 : 110원 -> 120원 -> 115원 -> 120원 
세아제강 : 3,500원 -> 6,000원 -> 8,000원 -> 7,000원 
동아엘텍 : 75원 -> 100원 -> 75원 -> 150원 
KB발해인프라 : 0원 -> 0원 -> 0원 -> 325원 
에스원 : 2,500원 -> 2,500원 -> 2,700원 -> 2,700원 
딜리 : 40원 -> 40원 -> 0원 -> 40원 
LG : 2,800원 -> 3,000원 -> 3,100원 -> 3,100원 
풍산 : 1,000원 -> 1,000원 -> 1,200원 -> 2,600원 
예스24 : 200원 -> 200원 -> 200원 -> 200원 
한국기업평가 : 3,397원 -> 5,100원 -> 5,131원 -> 3,954원 
KTis : 100원 -> 120원 -> 120원 -> 120원 
영원무역홀딩스 : 1,200원 -> 2,000원 -> 3,050원 -> 3,970원 
폰드그룹 : 0원 -> 0원 -> 0원 -> 250원 
라이온켐텍 : 100원 -> 100원 -> 100원 -> 100원 
SNT다이내믹스 : 400원 -> 500원 -> 700원 -> 1,300원 
세아홀딩스 : 2,750원 -> 4,000원 -> 4,000원 -> 4,000원 
LF : 600원 -> 700원 -> 700원 -> 700원 
LX홀딩스 : 0원 -> 310원 -> 270원 -> 290원 
와이솔 : 250원 -> 250원 -> 250원 -> 250원 
KT : 1,910원 -> 1,960원 -> 1,960원 -> 2,000원 
한네트 : 100원 -> 150원 -> 150원 -> 180원 
애경산업 : 200원 -> 310원 -> 580원 -> 580원 
도화엔지니어링 : 280원 -> 280원 -> 280원 -> 280원 
하나투어 : 0원 -> 0원 -> 5,000원 -> 2,300원 
인터지스 : 100원 -> 120원 -> 100원 -> 100원 
바이오노트 : 33원 -> 534원 -> 490원 -> 200원 
파트론 : 350원 -> 300원 -> 250원 -> 300원 
롯데렌탈 : 900원 -> 900원 -> 1,200원 -> 1,200원 
피코그램 : 0원 -> 0원 -> 0원 -> 100원 
로지시스 : 150원 -> 60원 -> 60원 -> 120원 
한독크린텍 : 200원 -> 250원 -> 250원 -> 250원 
빅솔론 : 250원 -> 400원 -> 200원 -> 200원 
KG스틸 : 100원 -> 150원 -> 200원 -> 250원 
한세실업 : 500원 -> 500원 -> 500원 -> 500원 
백금T&A : 0원 -> 0원 -> 80원 -> 100원 
두올 : 80원 -> 80원 -> 120원 -> 120원 
롯데하이마트 : 1,000원 -> 300원 -> 300원 -> 300원 
하이트진로홀딩스 : 450원 -> 500원 -> 550원 -> 350원 
KCI : 200원 -> 250원 -> 250원 -> 250원 
케이엘넷 : 80원 -> 80원 -> 80원 -> 100원 
남화산업 : 200원 -> 300원 -> 200원 -> 200원 
AK홀딩스 : 0원 -> 0원 -> 200원 -> 400원 
하이록코리아 : 0원 -> 0원 -> 1,050원 -> 1,150원 
BGF리테일 : 0원 -> 0원 -> 4,100원 -> 4,100원 
하이트진로홀딩스우 : 0원 -> 0원 -> 600원 -> 400원 
한국자산신탁 : 0원 -> 0원 -> 220원 -> 100원 
엠투아이 : 0원 -> 0원 -> 220원 -> 220원 
위츠 : 0원 -> 0원 -> 0원 -> 300원 
신도리코 : 0원 -> 0원 -> 1,500원 -> 1,500원 
KB금융 : 0원 -> 0원 -> 3,060원 -> 3,174원 
삼양사 : 0원 -> 0원 -> 1,750원 -> 1,750원 
세방우 : 0원 -> 0원 -> 305원 -> 305원 
대현 : 0원 -> 0원 -> 100원 -> 90원 
와토스코리아 : 0원 -> 0원 -> 200원 -> 200원 
농심홀딩스 : 0원 -> 0원 -> 2,500원 -> 2,500원 
한양이엔지 : 0원 -> 0원 -> 600원 -> 650원 
아이디피 : 0원 -> 0원 -> 120원 -> 170원 
LX홀딩스1우 : 0원 -> 0원 -> 280원 -> 300원 
이노룰스 : 0원 -> 0원 -> 60원 -> 250원 
성신양회우 : 0원 -> 0원 -> 400원 -> 400원 
플랜티넷 : 0원 -> 0원 -> 100원 -> 100원 
동서 : 0원 -> 0원 -> 780원 -> 890원 
JW홀딩스 : 0원 -> 0원 -> 103원 -> 115원 
대림B&Co : 0원 -> 0원 -> 110원 -> 150원 
신세계인터내셔날 : 0원 -> 0원 -> 400원 -> 400원 
수산인더스트리 : 0원 -> 0원 -> 800원 -> 800원 
코오롱인더 : 0원 -> 0원 -> 1,300원 -> 1,300원 
BGF : 0원 -> 0원 -> 120원 -> 130원 
삼성E&A : 0원 -> 0원 -> 0원 -> 660원 
애경케미칼 : 0원 -> 0원 -> 250원 -> 281원 
LX세미콘 : 0원 -> 0원 -> 1,800원 -> 2,400원 
동양에스텍 : 0원 -> 0원 -> 50원 -> 50원 
아모레G우 : 0원 -> 0원 -> 250원 -> 335원 
매일유업 : 0원 -> 0원 -> 1,200원 -> 1,250원 
아모레G3우(전환) : 0원 -> 0원 -> 667원 -> 667원 
TBH글로벌 : 0원 -> 0원 -> 100원 -> 40원 
POSCO홀딩스 : 0원 -> 0원 -> 10,000원 -> 10,000원 
현대지에프홀딩스 : 0원 -> 0원 -> 200원 -> 210원 
조흥 : 0원 -> 0원 -> 6,000원 -> 6,000원 
하이트진로 : 0원 -> 0원 -> 950원 -> 700원 
화천기공 : 0원 -> 0원 -> 1,300원 -> 1,050원 
F&F홀딩스 : 0원 -> 0원 -> 400원 -> 450원 
KCC : 0원 -> 0원 -> 8,000원 -> 10,000원 
무림P&P : 0원 -> 0원 -> 100원 -> 100원 
대한항공우 : 0원 -> 0원 -> 800원 -> 800원 
일진파워 : 0원 -> 0원 -> 330원 -> 330원 
엠브레인 : 0원 -> 0원 -> 120원 -> 80원 
DL이앤씨우 : 0원 -> 0원 -> 550원 -> 590원 
영화금속 : 0원 -> 0원 -> 20원 -> 30원 
동아지질 : 0원 -> 0원 -> 500원 -> 500원 
동원시스템즈우 : 0원 -> 0원 -> 650원 -> 650원 
씨피시스템 : 0원 -> 29원 -> 0원 -> 60원 
이글루 : 160원 -> 180원 -> 180원 -> 180원 
녹십자홀딩스 : 400원 -> 300원 -> 300원 -> 500원 
원일특강 : 250원 -> 220원 -> 220원 -> 250원 
SNT모티브 : 882원 -> 882원 -> 882원 -> 937원 
대한약품 : 400원 -> 650원 -> 750원 -> 900원 
케이피에프 : 0원 -> 140원 -> 150원 -> 150원 
OCI : 0원 -> 0원 -> 2,000원 -> 2,200원 
TP : 0원 -> 30원 -> 35원 -> 50원 
크라운제과 : 250원 -> 250원 -> 250원 -> 280원 
KTcs : 100원 -> 120원 -> 100원 -> 100원 
한솔테크닉스 : 0원 -> 100원 -> 100원 -> 150원 
삼양패키징 : 1,000원 -> 750원 -> 500원 -> 500원 
오리콤 : 220원 -> 270원 -> 270원 -> 270원 
그린케미칼 : 220원 -> 230원 -> 230원 -> 240원 
롯데이노베이트 : 700원 -> 700원 -> 1,000원 -> 700원 
티쓰리 : 0원 -> 0원 -> 60원 -> 60원 
CJ4우(전환) : 2,300원 -> 2,500원 -> 3,000원 -> 3,000원 
상신브레이크 : 80원 -> 100원 -> 110원 -> 100원 
한라IMS : 100원 -> 100원 -> 300원 -> 300원 
KH바텍 : 300원 -> 300원 -> 400원 -> 330원 
진양폴리 : 175원 -> 200원 -> 250원 -> 250원 
동원개발 : 150원 -> 160원 -> 80원 -> 80원 
롯데정밀화학 : 2,300원 -> 3,500원 -> 2,000원 -> 1,400원 
혜인 : 130원 -> 60원 -> 170원 -> 180원 
이지트로닉스 : 0원 -> 120원 -> 120원 -> 150원 
코오롱ENP : 145원 -> 180원 -> 160원 -> 200원 
휴스틸 : 145원 -> 350원 -> 250원 -> 150원 
쎌바이오텍 : 450원 -> 450원 -> 450원 -> 450원 
현대이지웰 : 70원 -> 80원 -> 90원 -> 170원 
LG씨엔에스 : 1,090원 -> 1,190원 -> 1,520원 -> 1,672원 
엠씨넥스 : 500원 -> 500원 -> 600원 -> 800원 
삼천리 : 3,000원 -> 3,000원 -> 3,000원 -> 3,000원 
SK가스 : 5,100원 -> 6,500원 -> 8,000원 -> 8,000원 
코웨이 : 1,250원 -> 1,300원 -> 1,350원 -> 2,630원 
이씨에스 : 130원 -> 150원 -> 120원 -> 100원 
